PeakPosition,Year,WeeksOnChart,Artists,Name,cluster
3,2003,21,Chingy,Holidae In,4
3,2011,39,Nicki Minaj,Super Bass,4
3,1999,40,Marc Anthony,I Need To Know,1
3,2007,20,Britney Spears,Gimme More,1
3,2014,33,Maroon 5,Animals,0
3,2011,21,Lil Wayne,She Will,0
3,2012,29,Whitney Houston,I Will Always Love You,3
4,2017,52,Imagine Dragons,Thunder,1
4,2001,32,Lenny Kravitz,Again,1
4,2008,41,Sara Bareilles,Love Song,1
4,2017,24,Sam Smith,Too Good At Goodbyes,3
4,2011,22,Bad Meets Evil,Lighters,3
4,2017,45,Portugal. The Man,Feel It Still,1
4,2011,33,Jeremih,Down On Me,1
4,2017,20,Taylor Swift,...Ready For It?,1
4,2001,22,Case,Missing You,1
4,2009,20,Jeremih,Birthday Sex,2
4,2012,34,One Direction,What Makes You Beautiful,4
4,2007,24,Dixie Chicks,Not Ready To Make Nice,2
4,2007,29,Daughtry,It's Not Over,0
4,2011,27,Bruno Mars,The Lazy Song,4
4,2018,18,The Weeknd,Call Out My Name,3
4,2000,27,P!nk,Most Girls,1
4,2001,21,Madonna,Don't Tell Me,4
4,2000,19,Eminem,The Real Slim Shady,4
4,2009,28,Miley Cyrus,The Climb,0
4,2000,44,Joe,I Wanna Know,2
4,2000,22,Samantha Mumba,Gotta Tell You,1
4,2017,52,Imagine Dragons,Believer,4
4,2015,29,Meghan Trainor,Lips Are Movin,4
4,2010,38,Enrique Iglesias,I Like It,4
4,2015,20,"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,3
4,2004,26,Nina Sky,Move Ya Body,4
4,2016,33,DJ Snake,Let Me Love You,2
4,2004,25,Kevin Lyttle,Turn Me On,4
4,2014,22,Ariana Grande,Break Free,0
4,2009,49,Taylor Swift,Love Story,1
4,2004,40,Alicia Keys,If I Ain't Got You,3
4,2015,52,Shawn Mendes,Stitches,1
4,2016,39,Flo Rida,My House,4
4,2002,22,LL Cool J,Luv U Better,4
4,2003,45,3 Doors Down,When I'm Gone,0
4,2003,27,Avril Lavigne,I'm With You,0
4,2015,53,WALK THE MOON,Shut Up And Dance,1
4,2002,20,Eminem,Cleanin' Out My Closet,4
4,2016,37,Mike Posner,I Took A Pill In Ibiza,2
4,2004,20,Nelly,My Place,1
4,2013,54,Florida Georgia Line,Cruise,4
4,2011,20,Dr. Dre,I Need A Doctor,1
4,2017,20,Kendrick Lamar,DNA.,1
4,2017,13,Harry Styles,Sign Of The Times,0
4,2005,20,Akon,Lonely,4
4,2001,30,Ginuwine,Differences,3
4,2013,33,Drake,"Hold On, We're Going Home",2
4,2017,26,The Weeknd,I Feel It Coming,1
4,2013,23,Lady Gaga,Applause,4
4,2001,29,112,Peaches & Cream,1
4,2016,28,Ariana Grande,Side To Side,0
4,2016,41,Bruno Mars,24K Magic,1
4,2002,29,Creed,My Sacrifice,1
4,2002,24,P!nk,Get The Party Started,4
4,2014,37,"DJ Snake, Lil Jon",Turn Down For What,1
4,2005,28,The Game,How We Do,1
4,2014,26,"A Great Big World, Christina Aguilera",Say Something,3
4,2017,20,Lady Gaga,Million Reasons,3
4,2017,15,Katy Perry,Chained To The Rhythm,1
4,2008,20,M.I.A.,Paper Planes,1
4,1999,30,Smash Mouth,All Star,4
4,2000,32,Montell Jordan,Get It On Tonite,4
4,2019,47,Panic! At The Disco,High Hopes,4
4,2009,57,Kings Of Leon,Use Somebody,1
4,2019,23,J. Cole,Middle Child,2
4,1999,28,Whitney Houston,My Love Is Your Love,2
5,2008,27,Kardinal Offishall,Dangerous,4
5,2018,35,Ella Mai,Boo'd Up,2
5,2009,21,Sean Kingston,Fire Burning,1
5,2003,51,3 Doors Down,Here Without You,0
5,2015,37,Sam Smith,I'm Not The Only One,3
5,2003,32,Evanescence,Bring Me To Life,0
5,2018,33,Halsey,Bad At Love,1
5,2003,22,Justin Timberlake,Rock Your Body,4
5,2015,27,Taylor Swift,Wildest Dreams,0
5,2008,35,Kevin Rudolf,Let It Rock,4
5,2009,22,Lady Gaga,LoveGame,4
5,2000,26,Ruff Endz,No More,4
5,2015,35,Jason Derulo,Want To Want Me,1
5,2015,26,Selena Gomez,Good For You,2
5,2003,54,matchbox twenty,Unwell,0
