PeakPosition,Year,WeeksOnChart,Artists,Name,cluster,Popularity,,.WeeksOnChart
5,2015,0,Sam Smith,I'm Not The Only One,3,82,,37
4,2018,0,The Weeknd,Call Out My Name,3,82,,18
2,2014,54,Sam Smith,Stay With Me,3,82,,54
6,2013,0,One Direction,Story Of My Life,3,81,,32
1,2016,0,Justin Bieber,Love Yourself,3,81,,41
6,2018,0,Sheck Wes,Mo Bamba,3,80,,28
1,2007,0,Plain White T's,Hey There Delilah,3,80,,35
4,2015,0,"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,3,79,,20
7,2016,0,Rihanna,Needed Me,3,78,,45
6,2017,0,Sam Hunt,Body Like A Back Road,3,78,,41
4,2004,0,Alicia Keys,If I Ain't Got You,3,78,,40
4,2017,0,Lady Gaga,Million Reasons,3,77,,20
1,2012,59,Gotye,Somebody That I Used To Know,3,76,,59
3,2012,0,Whitney Houston,I Will Always Love You,3,76,,29
1,2006,0,James Blunt,You're Beautiful,3,76,,38
8,2015,0,Sam Smith,Lay Me Down,3,76,,20
1,2013,0,Miley Cyrus,Wrecking Ball,3,75,,32
1,2011,0,Bruno Mars,Grenade,3,75,,36
7,2004,0,Evanescence,My Immortal,3,74,,32
8,2012,0,Adele,Skyfall,3,73,,20
6,2014,0,Jeremih,Don't Tell 'Em,3,72,,31
7,2005,0,Kelly Clarkson,Because Of You,3,72,,37
1,2015,0,Adele,Hello,3,72,,26
7,2003,0,Baby Bash,Suga Suga,3,72,,33
2,2003,0,Christina Aguilera,Beautiful,3,71,,27
10,2001,0,Enya,Only Time,3,71,,32
6,2006,0,Rihanna,Unfaithful,3,70,,20
4,2011,0,Bad Meets Evil,Lighters,3,68,,22
4,2001,0,Ginuwine,Differences,3,68,,30
10,2015,0,Ed Sheeran,Photograph,3,65,,30
2,2015,58,Ed Sheeran,Thinking Out Loud,3,65,,58
1,2018,52,Maroon 5,Girls Like You,3,64,,52
7,2012,0,Tyga,Rack City,3,63,,25
8,2003,0,Ginuwine,In Those Jeans,3,61,,20
7,2008,0,Yael Naim,New Soul,3,60,,19
1,2000,0,Sisqo,Incomplete,3,59,,26
4,2014,0,"A Great Big World, Christina Aguilera",Say Something,3,59,,26
3,2000,0,Christina Aguilera,I Turn To You,3,58,,22
3,1999,0,Jessica Simpson,I Wanna Love You Forever,3,58,,20
6,2016,0,Drake,Summer Sixteen,3,58,,14
7,2002,0,Alicia Keys,A Woman's Worth,3,56,,20
8,2014,0,Justin Timberlake,Not A Bad Thing,3,56,,22
6,2000,0,Erykah Badu,Bag Lady,3,55,,20
2,2004,0,Hoobastank,The Reason,3,53,,38
3,2013,0,Rihanna,Stay,3,48,,32
8,2019,0,Bobby Helms,Jingle Bell Rock,3,35,,25
1,2018,0,Ariana Grande,"Thank U, Next",1,85,,28
1,2019,0,Jonas Brothers,Sucker,1,85,,17
1,2017,59,Ed Sheeran,Shape Of You,1,85,,59
10,2019,0,Ava Max,Sweet But Psycho,1,85,,28
4,2017,52,Imagine Dragons,Thunder,1,84,,52
2,2002,0,Linkin Park,In The End,1,83,,39
2,2016,52,twenty one pilots,Stressed Out,1,83,,52
2,2019,0,Taylor Swift,You Need To Calm Down,1,83,,2
1,2016,0,Drake,One Dance,1,82,,36
3,2010,54,Train,"Hey, Soul Sister",1,82,,54
5,2017,0,Charlie Puth,Attention,1,82,,40
7,2019,0,DaBaby,Suge,1,82,,13
7,2014,0,Calvin Harris,Summer,1,81,,26
3,2018,0,6ix9ine,FEFE,1,81,,20
2,2010,0,Lady Gaga,Bad Romance,1,80,,35
2,2015,0,Maroon 5,Sugar,1,80,,42
8,2018,0,Ariana Grande,God Is A Woman,1,80,,22
1,2007,0,Alicia Keys,No One,1,79,,39
1,2009,0,Owl City,Fireflies,1,79,,31
4,2015,53,WALK THE MOON,Shut Up And Dance,1,79,,53
3,2015,0,One Direction,Drag Me Down,1,78,,20
10,2005,0,The Killers,Mr. Brightside,1,78,,38
1,2010,0,Eminem,Not Afraid,1,78,,25
3,2014,0,"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,1,78,,31
5,2001,53,Train,Drops Of Jupiter,1,78,,53
4,2016,0,Bruno Mars,24K Magic,1,78,,41
1,2014,0,MAGIC!,Rude,1,78,,41
5,2002,0,Jimmy Eat World,The Middle,1,77,,33
8,2016,0,Ariana Grande,Dangerous Woman,1,77,,21
8,2013,0,Capital Cities,Safe And Sound,1,77,,43
9,2015,0,"Pitbull, Ne",Time Of Our Lives,1,77,,27
2,2013,0,Miley Cyrus,We Can't Stop,1,77,,26
10,2018,0,Migos,Walk It Talk It,1,77,,22
1,2005,0,Kanye West,Gold Digger,1,77,,39
1,2006,0,Sean Paul,Temperature,1,77,,31
6,2006,0,Red Hot Chili Peppers,Dani California,1,76,,26
3,2019,0,Khalid,Talk,1,76,,20
9,1999,0,Red Hot Chili Peppers,Scar Tissue,1,76,,29
5,2015,0,Jason Derulo,Want To Want Me,1,76,,35
1,2012,0,Flo Rida,Whistle,1,76,,29
1,2001,0,Shaggy,It Wasn't Me,1,76,,25
10,2002,0,Avril Lavigne,Sk8er Boi,1,76,,20
6,2001,0,Shakira,"Whenever, Wherever",1,75,,24
4,2009,57,Kings Of Leon,Use Somebody,1,75,,57
5,2018,0,Halsey,Bad At Love,1,75,,33
4,2008,0,Sara Bareilles,Love Song,1,75,,41
10,2015,0,One Direction,Perfect,1,75,,20
6,2017,0,Big Sean,Bounce Back,1,75,,28
1,2013,0,Eminem,The Monster,1,74,,29
2,2014,68,OneRepublic,Counting Stars,1,74,,68
10,2012,0,Train,Drive By,1,74,,36
8,2012,0,"Owl City, Carly Rae Jepsen",Good Time,1,74,,24
1,2011,0,Wiz Khalifa,Black And Yellow,1,74,,25
3,2013,0,"will.i.am, Britney Spears",Scream & Shout,1,74,,24
9,2017,0,Drake,Portland,1,74,,16
3,2012,0,One Direction,Live While We're Young,1,73,,16
2,2012,0,Maroon 5,Payphone,1,73,,31
9,2013,0,P!nk,Try,1,73,,24
5,2004,0,Maroon 5,She Will Be Loved,1,73,,41
