Artists,Name,Year,Weekly.rank,Week,Max.Weeks.on.chart,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
The Weeknd,Starboy,2017,1,2017-01-07,30,"Alternative R&;B,Canada,R&;B,Electro-Pop,Pop",0.144169749,0.648339061,0.564847324,0.636363636,0.846711772,0.478316191,0
Kelly Clarkson,A Moment Like This,2002,1,2002-10-08,20,"American Idol,Ballad,Pop",0.16666469,0.344788087,0.54888818,0.727272727,0.594958647,0.132647651,0
Taylor Swift,Bad Blood,2015,1,2015-06-05,25,"Electro-Hop,Electro-Pop,Rap,Pop",0.089057144,0.617411226,0.793595063,0.636363636,0.748980813,0.275792599,0
"Eminem, Dr. Dre, 50 Cent",Crack A Bottle,2009,1,2009-02-19,17,Rap,0.088341396,0.461626575,0.870198957,0.818181818,0.745304954,0.377584562,0
P!nk,So What,2008,1,2008-09-25,31,"Power Pop,Alternative Rock,Pop-Rock,Pop,Rock",0.000334029,0.482245132,0.865943185,1,0.476757597,0.452868201,0
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",2019,2,2019-02-23,20,"Trap,Trip-Hop,Lo-Fi,R&;B,Pop",0.043044765,0.702176403,0.529737206,0.454545455,0.74800634,0.318205917,0
Taylor Swift,You Belong With Me,2009,2,2009-08-20,50,"Pop Country,Country,Pop",0.18200215,0.657502864,0.732950314,0.545454545,0.501100907,0.424239211,0
Taylor Swift,Today Was A Fairytale,2010,2,2010-02-04,18,"Country,Pop",0.031388295,0.432989691,0.688264709,0.636363636,0.673927926,0.327748913,0
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",2007,2,2007-01-31,20,"Protest Songs,Electronic Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Punk Rock,Pop-Punk,Emo,Rock",0.0011326,0.366552119,0.884030216,0.818181818,0.933489167,0.473014527,0
Katy Perry,Wide Awake,2012,2,2012-08-10,26,"Dance-Pop,Pop",0.076582677,0.459335624,0.66698585,0.454545455,0.685189868,0.572685823,0
Jamie Foxx,Blame It,2009,2,2009-05-14,27,"R&;B,Rap",0.079956918,0.641466208,0.593573784,0.636363636,0.785338506,0.346834906,0
Green Day,Boulevard Of Broken Dreams,2005,2,2005-03-09,36,"Adult Contemporary,Adult Alternative,Alternative Rock,Punk Rock,Pop-Punk,Pop-Rock,Rock",0.005641813,0.438717068,0.665921907,0.727272727,0.729879918,0.465592196,0
Nickelback,Photograph,2005,2,2005-10-19,33,"Acoustic,Hard Rock,Adult Contemporary,Alternative Rock,Post-Grunge,Pop-Rock,Memes,Rock",0.000745073,0.458190149,0.861687414,0.727272727,0.599676821,0.360619234,0
Keri Hilson,Knock You Down,2009,3,2009-06-25,31,"Pop,R&;B,Rap",0.009731802,0.544100802,0.873390786,0.727272727,0.656516939,0.646909129,0
Enrique Iglesias,Hero,2001,3,2001-11-20,34,"Spanish Music,Latin Pop,Pop",0.150304733,0.506300115,0.619108416,0.636363636,0.636583425,0.120983989,0
Mariah Carey,All I Want For Christmas Is You,2019,3,2019-01-05,30,"East Coast,Christmas,R&;B,Pop",0.167687187,0.254295533,0.605277157,0.636363636,0.626369967,0.329869579,0
Nelly,Over And Over,2004,3,2004-12-01,24,"Adult Contemporary,Pop Country,Country Rap,Hip-Hop,Pop,Country,Neo Soul,R&;B,Rap",0.007482308,0.60137457,0.495691031,0.636363636,0.74667415,0.430601209,0
David Cook,The Time Of My Life,2008,3,2008-06-05,20,Pop,0.055314732,0.344788087,0.555271837,0.727272727,0.655252592,0.260947938,0
